time	Eall.5	Eall1.0	Eall2.0	Eall4.0	Eall6.0	Eall8.0
0	0	0	0	0	0	0
0.5	0.00000233	0.00000465	0.00000929	0.0000185	0.0000277	0.0000368
1	0.00000483	0.00000965	0.0000193	0.0000384	0.0000574	0.0000763
1.5	0.00000733	0.0000146	0.0000292	0.0000583	0.0000872	0.000116
2	0.00000983	0.0000196	0.0000392	0.0000782	0.000117	0.000155
2.5	0.0000123	0.0000246	0.0000492	0.0000981	0.000147	0.000195
3	0.0000148	0.0000296	0.0000592	0.000118	0.000176	0.000234
3.5	0.0000173	0.0000346	0.0000692	0.000138	0.000206	0.000274
4	0.0000198	0.0000396	0.0000791	0.000158	0.000236	0.000313
4.5	0.0000223	0.0000446	0.0000891	0.000178	0.000266	0.000353
5	0.0000248	0.0000496	0.0000991	0.000198	0.000295	0.000392
5.5	0.0000273	0.0000546	0.000109	0.000217	0.000325	0.000432
6	0.0000298	0.0000596	0.000119	0.000237	0.000355	0.000471
6.5	0.0000323	0.0000646	0.000129	0.000257	0.000384	0.000511
7	0.0000348	0.0000696	0.000139	0.000277	0.000414	0.00055
7.5	0.0000373	0.0000746	0.000149	0.000297	0.000444	0.00059
8	0.0000398	0.0000796	0.000159	0.000317	0.000473	0.000629
8.5	0.0000423	0.0000846	0.000169	0.000337	0.000503	0.000668
9	0.0000448	0.0000896	0.000179	0.000357	0.000533	0.000708
9.5	0.0000473	0.0000946	0.000189	0.000376	0.000563	0.000747
10	0.0000498	0.0000996	0.000199	0.000396	0.000592	0.000787
10.5	0.0000523	0.000105	0.000209	0.000416	0.000622	0.000826
11	0.0000548	0.00011	0.000219	0.000436	0.000652	0.000866
11.5	0.0000573	0.000115	0.000229	0.000456	0.000681	0.000905
12	0.0000598	0.00012	0.000239	0.000476	0.000711	0.000944
12.5	0.0000624	0.000125	0.000249	0.000496	0.000741	0.000984
13	0.0000649	0.00013	0.000259	0.000515	0.00077	0.00102
13.5	0.0000674	0.000135	0.000269	0.000535	0.0008	0.00106
14	0.0000699	0.00014	0.000279	0.000555	0.00083	0.0011
14.5	0.0000724	0.000145	0.000289	0.000575	0.000859	0.00114
15	0.0000749	0.00015	0.000299	0.000595	0.000889	0.00118
15.5	0.0000774	0.000155	0.000309	0.000615	0.000919	0.00122
16	0.0000799	0.00016	0.000319	0.000635	0.000948	0.00126
16.5	0.0000824	0.000165	0.000328	0.000654	0.000978	0.0013
17	0.0000849	0.00017	0.000338	0.000674	0.00101	0.00134
17.5	0.0000874	0.000175	0.000348	0.000694	0.00104	0.00138
18	0.0000899	0.00018	0.000358	0.000714	0.00107	0.00142
18.5	0.0000924	0.000185	0.000368	0.000734	0.0011	0.00146
19	0.0000949	0.00019	0.000378	0.000754	0.00113	0.0015
19.5	0.0000974	0.000195	0.000388	0.000774	0.00116	0.00153
20	0.0000999	0.0002	0.000398	0.000793	0.00119	0.00157
